item_id,name,shape,quality,家居,医疗,时尚,武器,珠宝,文玩,数码,交通,饮食,书籍,base_value,grid_size,
1106006,《亚威农少女》,33,6,,,,,,文玩,,,,书籍,282240,"[10,5]",
1106007,《凯尔经》,22,6,,,,,,文玩,,,,书籍,175500,"[10,5]",
1106008,《天工开物》,22,6,,,,,,文玩,,,,书籍,148840,"[10,5]",
1106011,《富春山居图》,31,6,,,,,,文玩,,,,书籍,1236666,"[10,5]",
1106002,《岩间圣母》,23,6,,,,,,文玩,,,,书籍,120600,"[10,5]",
1104003,《心经》高僧手抄卷,41,4,,,,,,文玩,,,,书籍,7472,"[10,5]",
1106003,《戴珍珠耳环的少女》,22,6,,,,,,文玩,,,,书籍,160200,"[10,5]",
1105001,《敦煌遗书》唐代写经卷仿制卷,22,5,,,,,,文玩,,,,书籍,35200,"[10,5]",
1106005,《星空》,32,6,,,,,,文玩,,,,书籍,170200,"[10,5]",
1104010,《淳化阁帖》宋拓本仿制册页,22,4,,,,,,文玩,,,,书籍,14112,"[10,5]",
1106004,《自由引导人民》,32,6,,,,,,文玩,,,,书籍,191800,"[10,5]",
1106012,《般若神掌》,22,6,,,,武器,,文玩,,,,书籍,284519,"[10,5]",
1105002,《营造法式》彩画作制度图样精仿本,21,5,,,,,,文玩,,,,书籍,37920,"[10,5]",
1105003,《黄庭经》卷仿本,12,5,,,,,,文玩,,,,书籍,55440,"[10,5]",
1011003,0.38MM中性笔,11,1,家居,,,,,,,,,,179,"[10,5]",
1085009,单人郊游快艇,63,5,家居,,,,,,,交通,,,106500,"[10,5]",
1071008,3D观影镜,21,1,,,,,,,数码,,,,360,"[10,5]",
1054011,1克拉钻石,11,4,,,时尚,,珠宝,,,,,,13000,"[10,5]",
1061010,窗花剪纸,22,1,家居,,,,,文玩,,,,书籍,377,"[10,5]",
1041006,556子弹,11,1,,,,武器,,,,,,,138,"[10,5]",
1034005,8848烫金手机壳,11,4,家居,,时尚,,,,,,,,2560,"[10,5]",
1101008,A4印刷用纸,12,1,家居,,,,,,,,,书籍,257,"[10,5]",
1076004,AI服务器,23,6,,,,,,,数码,,,,470400,"[10,5]",
1044003,AWM狙击步枪,51,4,,,,武器,,,,,,,16310,"[10,5]",
1013007,BB机,11,3,家居,,,,,文玩,数码,,,,1175,"[10,5]",
1042003,127子弹,11,2,,,,武器,,,,,,,367,"[10,5]",
1076005,GPU计算柜,35,6,,,,,,,数码,,,,375000,"[10,5]",
1012003,HDIM高清线,11,2,家居,,,,,,数码,,,,755,"[10,5]",
1033003,JK制服,23,3,家居,,时尚,,,,,,,,3875,"[10,5]",
1044001,M249轻机枪,42,4,,,,武器,,,,,,,12584,"[10,5]",
1043004,MP5冲锋枪,32,3,,,,武器,,,,,,,3294,"[10,5]",
1044005,M系列自动步枪,42,4,,,,武器,,,,,,,11752,"[10,5]",
1044002,RPG火箭筒,41,4,,,,武器,,,,,,,8976,"[10,5]",
1022006,Six god,11,2,家居,医疗,,,,,,,,,293,"[10,5]",
1072007,USB氛围灯,11,2,家居,,,,,,数码,,,,870,"[10,5]",
1043009,UZI冲锋枪,22,3,,,,武器,,,,,,,3851,"[10,5]",
1074002,VR头显,22,4,,,,,,,数码,,,,12000,"[10,5]",
1021008,艾条,11,1,家居,医疗,,,,,,,,,331,"[10,5]",
1026005,安宫牛黄丸,11,6,,医疗,,,,,,,,,54675,"[10,5]",
1082006,安全锤,11,2,,,,武器,,,,交通,,,466,"[10,5]",
1014007,按摩椅,22,4,家居,医疗,,,,,数码,,,,7758,"[10,5]",
1045001,巴雷特反器材狙击步枪,52,5,,,,武器,,,,,,,67600,"[10,5]",
1022008,拔罐器,11,2,,医疗,,,,,,,,,403,"[10,5]",
1091009,白砂糖,11,1,,,,,,,,,饮食,,192,"[10,5]",
1095005,白松露,11,5,,,,,,,,,饮食,,33000,"[10,5]",
1032004,百搭丝巾,13,2,,,时尚,,,,,,,,718,"[10,5]",
1026008,百年人参,12,6,,医疗,,,,,,,饮食,,1039000,"[10,5]",
1066010,拜占庭冠,22,6,,,,,,文玩,,,,,167800,"[10,5]",
1082004,备胎,33,2,,,,,,,,交通,,,1426,"[10,5]",
1022010,宝宝降热贴,21,2,,医疗,,,,,,,,,654,"[10,5]",
1036004,宝斯终身VIP会员卡,11,6,,,时尚,,,,,,,,465000,"[10,5]",
1012002,抱枕,22,2,家居,,,,,,,,,,1258,"[10,5]",
1061006,贝币串,22,1,,,,,珠宝,文玩,,,,,142,"[10,5]",
1062009,贝雕画,22,2,家居,,,,,文玩,,,,书籍,907,"[10,5]",
1082002,车载充气泵,21,2,,,,,,,,交通,,,804,"[10,5]",
1045008,背挂式无线电干扰发生器,22,5,,,,武器,,,,,,,42525,"[10,5]",
1072002,笔记本散热器,22,2,家居,,,,,,数码,,,,1346,"[10,5]",
1014006,壁挂式空调,31,4,家居,,,,,,数码,,,,9115,"[10,5]",
1055009,变彩欧泊,11,5,,,,,珠宝,,,,,,21840,"[10,5]",
1013008,便携式冰箱,13,3,家居,,,,,,数码,,,,4761,"[10,5]",
1025004,便携式超声诊断仪,32,5,,医疗,,,,,数码,,,,62055,"[10,5]",
1045005,便携式军用雷达,22,5,,,,武器,,,数码,,,,29500,"[10,5]",
1013005,便携式手提箱,22,3,家居,,,,,,,,,,3551,"[10,5]",
1023006,便携式心电图仪,22,3,,医疗,,,,,数码,,,,2385,"[10,5]",
1073004,便携游戏机,21,3,,,,,,,数码,,,,2133,"[10,5]",
1094004,冰酒,12,4,,,,,,,,,饮食,,4788,"[10,5]",
1056006,冰种飘花翡翠,22,6,,,,,珠宝,文玩,,,,,180000,"[10,5]",
1025007,病理监护仪,22,5,,医疗,,,,,数码,,,,76233,"[10,5]",
1085010,私人飞机租赁证明,11,5,家居,,,,,,,交通,,,11175,"[10,5]",
1081003,玻璃水,11,1,,,,,,,,交通,,,185,"[10,5]",
1035010,伯纳普斯球场VIP赛季票,11,5,,,时尚,,,,,,,,24332,"[10,5]",
1035004,铂金胸针,11,5,,,时尚,,珠宝,,,,,,15325,"[10,5]",
1072010,补光灯,22,2,,,,,,,数码,,,,1166,"[10,5]",
1041007,捕兽夹,22,1,家居,,,武器,,,,,,,483,"[10,5]",
1085008,豪华旅行摩托车,33,5,家居,,时尚,,,,,交通,,,77700,"[10,5]",
1074007,彩色打印机,32,4,家居,,,,,,数码,,,,14364,"[10,5]",
1096003,藏区冬虫夏草,12,6,,医疗,,,,,,,饮食,,168000,"[10,5]",
1061002,草编鲤鱼,21,1,家居,,,,,文玩,,,,,205,"[10,5]",
1011005,插座,11,1,家居,,,,,,数码,,,,200,"[10,5]",
1104005,蝉翼拓片宣纸,22,4,,,,,,,,,,书籍,11520,"[10,5]",
1084006,超级电动车电池组,32,4,,,,,,,,交通,,,12296,"[10,5]",
1086002,超级跑车钥匙,11,6,,,时尚,,,,,交通,,,1495000,"[10,5]",
1026007,超声波诊断仪,33,6,,医疗,,,,,,,,,475000,"[10,5]",
1024006,超声波治疗仪,23,4,,医疗,,,,,数码,,,,12581,"[10,5]",
1032002,潮流手机壳,11,2,家居,,时尚,,,,,,,,295,"[10,5]",
1084009,车辆定位器,11,4,,,,,,,数码,交通,,,3940,"[10,5]",
1082001,车衣,31,2,家居,,,,,,,交通,,,2297,"[10,5]",
1081004,车用毛巾,22,1,家居,,,,,,,交通,,,315,"[10,5]",
1081010,车用拖车绳,12,1,,,,,,,,交通,,,277,"[10,5]",
1042010,充气玩具手枪,11,2,家居,,,武器,,,,,,,301,"[10,5]",
1104009,沉香木镂空笔架,21,4,,,,,,文玩,,,,书籍,8700,"[10,5]",
1096006,陈年干邑,12,6,,,,,,,,,饮食,,249000,"[10,5]",
1082011,电动三轮车,43,2,家居,,,,,,数码,交通,,,5129,"[10,5]",
1091002,初榨菜籽油,12,1,,,,,,,,,饮食,,344,"[10,5]",
1024002,除颤仪,23,4,,医疗,,,,,数码,,,,12976,"[10,5]",
1012008,电水壶,12,2,家居,,,,,,数码,,,,1106,"[10,5]",
1026006,触摸感应仿生手,11,6,,医疗,,,,,,,,,130296,"[10,5]",
1032007,帆布背包,22,2,家居,,时尚,,,,,,,,886,"[10,5]",
1021002,创可贴,11,1,家居,医疗,,,,,,,,,146,"[10,5]",
1046003,刺猬猫·全息阅读终端,11,6,家居,,时尚,,,,数码,,,,54300,"[10,5]",
1105010,刺绣《千里江山图》,24,5,,,,,,文玩,,,,书籍,88473,"[10,5]",
1061001,粗陶泥偶,12,1,家居,,,,,文玩,,,,,107,"[10,5]",
1065002,错金铜鼎,33,5,,,,,,文玩,,,,,78540,"[10,5]",
1043011,大宝剑,51,3,,,,武器,,,,,,,4840,"[10,5]",
1102003,大本盗印网络小说,22,2,,,,,,,,,,书籍,1246,"[10,5]",
1014005,大哥大电话,12,4,家居,,,,,文玩,数码,,,,4624,"[10,5]",
1042004,工地用头盔,22,2,家居,,,武器,,,,,,,1267,"[10,5]",
1096008,大目金枪鱼,35,6,,,,,,,,,饮食,,294000,"[10,5]",
1065012,大圣残缺石像,25,5,,,,,,文玩,,,,,89461,"[10,5]",
1056007,大溪地黑珍珠,11,6,,,时尚,,珠宝,,,,,,71500,"[10,5]",
1075002,旗舰手机,11,5,家居,,,,,,数码,,,,7800,"[10,5]",
1065010,波斯毯,34,5,家居,,,,,文玩,,,,,85800,"[10,5]",
1046004,单兵外骨骼助力系统,34,6,,,,武器,,,,,,,305920,"[10,5]",
1045003,单兵战场信息系统终端,22,5,,,,武器,,,数码,,,,34490,"[10,5]",
1024003,单克隆抗体药物,12,4,,医疗,,,,,,,,,6012,"[10,5]",
1066006,翡翠屏风,44,6,家居,,,,,文玩,,,,,844000,"[10,5]",
1093005,单一麦芽威士忌,21,3,,,,,,,,,饮食,,2484,"[10,5]",
1021004,弹性绷带,21,1,,医疗,,,,,,,,,346,"[10,5]",
1083002,倒车雷达,22,3,,,,,,,数码,交通,,,3488,"[10,5]",
1013006,等身抱枕,13,3,家居,,时尚,,,,,,,,3870,"[10,5]",
1071007,点卡充值,11,1,,,,,,,数码,,,,168,"[10,5]",
1083003,电动滑板车,22,3,家居,,,,,,数码,交通,,,4118,"[10,5]",
1084004,电动摩托车,32,4,家居,,,,,,,交通,,,10080,"[10,5]",
1022001,急救毯,22,2,家居,医疗,,,,,,,,,770,"[10,5]",
1083001,电动踏板,21,3,家居,,,,,,数码,交通,,,6258,"[10,5]",
1013004,电动剃须刀,11,3,家居,,,,,,数码,,,,1767,"[10,5]",
1013002,电动牙刷,11,3,家居,,,,,,数码,,,,1461,"[10,5]",
1073006,电竞显示器,33,3,家居,,,,,,数码,,,,7644,"[10,5]",
1074009,电脑主板,22,4,,,,,,,数码,,,,11880,"[10,5]",
1032008,连帽卫衣,23,2,家居,,时尚,,,,,,,,1240,"[10,5]",
1032006,裸靴,22,2,,,时尚,,,,,,,,532,"[10,5]",
1075010,电影定焦镜头,11,5,,,,,,,数码,,,,14850,"[10,5]",
1076001,电影级摄影机,32,6,,,,,,,数码,,,,258760,"[10,5]",
1012001,电子手表,11,2,家居,,,,,,数码,,,,445,"[10,5]",
1023007,电子输液架,13,3,,医疗,,,,,,,,,2322,"[10,5]",
1023001,电子体温计,11,3,,医疗,,,,,数码,,,,1433,"[10,5]",
1011007,电子体重秤,22,1,家居,医疗,,,,,,,,,470,"[10,5]",
1073003,电子阅读器,11,3,,,,,,,数码,,,,1005,"[10,5]",
1091010,淀粉肠,11,1,,,,,,,,,饮食,,186,"[10,5]",
1035008,顶级化妆礼盒,22,5,,,时尚,,,,,,,,27675,"[10,5]",
1035002,定制晚礼服,23,5,,,时尚,,,,,,,,38745,"[10,5]",
1053004,东陵玉原石,22,3,,,,,珠宝,文玩,,,,,5280,"[10,5]",
1066003,敦煌绢画,13,6,,,,,,文玩,,,,书籍,255840,"[10,5]",
1072001,多功能读卡器,11,2,,,,,,,数码,,,,401,"[10,5]",
1043010,多功能军刀,11,3,家居,,,武器,,,,,,,1373,"[10,5]",
1051002,鹅卵石,11,1,家居,,,武器,珠宝,,,,,,146,"[10,5]",
1082010,儿童安全座椅,22,2,家居,医疗,,,,,,交通,,,1130,"[10,5]",
1071004,耳机防尘塞,11,1,家居,,,,,,数码,,,,137,"[10,5]",
1033002,二次元痛包,22,3,,,时尚,,,,,,,,2214,"[10,5]",
1094001,二十年汾酒,22,4,,,,,,,,,饮食,,11280,"[10,5]",
1065006,乌木椅,33,5,家居,,,,,文玩,,,,,48300,"[10,5]",
1066005,法贝热蛋,22,6,,,,,珠宝,文玩,,,,,160200,"[10,5]",
1062008,木梭子,21,2,,,,,,文玩,,,,,514,"[10,5]",
1081002,反光贴纸,11,1,,,,,,,,交通,,,168,"[10,5]",
1031006,防晒冰袖,21,1,家居,,时尚,,,,,,,,248,"[10,5]",
1092006,手打鱼丸,11,2,,,,,,,,,饮食,,480,"[10,5]",
1041008,飞镖,11,1,家居,,,武器,,,,,,,184,"[10,5]",
1056013,非洲之心,11,6,,,,,珠宝,,,,,,13145200,"[10,5]",
1065001,翡翠观音,13,5,,,,,珠宝,文玩,,,,,56700,"[10,5]",
1065011,大展宏图,42,5,家居,,,,,文玩,,,,书籍,73682,"[10,5]",
1054008,翡翠原石,22,4,,,,,珠宝,,,,,,21000,"[10,5]",
1011010,废旧纸箱,22,1,家居,,,,,,,,,,885,"[10,5]",
1091006,风干腊肉,21,1,,,,,,,,,饮食,,320,"[10,5]",
1092007,风干香肠,21,2,,,,,,,,,饮食,,635,"[10,5]",
1096004,佛跳墙,11,6,,,,,,,,,饮食,,68100,"[10,5]",
1075011,服务器机柜,35,5,,,,,,,数码,,,,97382,"[10,5]",
1082007,辅助轮儿童自行车,22,2,家居,,,,,,,交通,,,1440,"[10,5]",
1071001,复古游戏机,12,1,,,,,,,数码,,,,247,"[10,5]",
1026001,复苏呼吸机,33,6,,医疗,,,,,数码,,,,1089660,"[10,5]",
1075004,高端VR套装,32,5,,,,,,,数码,,,,51660,"[10,5]",
1084001,高级驾驶辅助系统,22,4,,,,,,,数码,交通,,,11940,"[10,5]",
1053009,高岭土,22,3,,,,,珠宝,,,交通,,,5730,"[10,5]",
1045009,高浓缩磁暴瘫痪手雷,11,5,,,,武器,,,,,,,12400,"[10,5]",
1046006,高斯振动匕首,21,6,,,,武器,,,,,,,531000,"[10,5]",
1056003,鸽血红宝石,11,6,,,,,珠宝,,,,,,75500,"[10,5]",
1025005,个性化肿瘤疫苗,11,5,,医疗,,,,,,,,,16200,"[10,5]",
1042002,手雷,11,2,,,,武器,,,,,,,312,"[10,5]",
1033009,公仔玩偶,12,3,家居,,时尚,,,,,,,,1661,"[10,5]",
1055001,狗头金,11,5,,,,,珠宝,,,,,,13332,"[10,5]",
1092001,古法红糖,11,2,,医疗,,,,,,,饮食,,458,"[10,5]",
1046007,古剑,31,6,,,,武器,,文玩,,,,,143100,"[10,5]",
1026003,古医书《伤寒论》,12,6,,医疗,,,,文玩,,,,书籍,158940,"[10,5]",
1104008,古韵臂搁,12,4,,,,,,文玩,,,,书籍,6624,"[10,5]",
1063008,骨笛,12,3,,,,,,文玩,,,,,2552,"[10,5]",
1061008,骨针筒,21,1,,,,,,文玩,,,,,156,"[10,5]",
1092005,桂皮,11,2,,医疗,,,,,,,饮食,,475,"[10,5]",
1055007,海蓝宝晶体,13,5,,,,,珠宝,,,,,,39168,"[10,5]",
1092004,海盐,11,2,,,,,,,,,饮食,,360,"[10,5]",
1034006,汉元素潮服,23,4,,,时尚,,,,,,,,10332,"[10,5]",
1066001,曜变天目盏,11,6,家居,,,,,文玩,,,饮食,,112500,"[10,5]",
1046002,007同款防弹西装,23,6,家居,,时尚,武器,,,,,,,199080,"[10,5]",
1045007,单兵水下推进器,23,5,家居,,,武器,,,,,,,37350,"[10,5]",
1034007,合金机器人模型,12,4,,,时尚,,,文玩,,,,,4428,"[10,5]",
1043005,合金弩枪,32,3,家居,,,武器,,,,,,,3339,"[10,5]",
1054007,和田玉原石,22,4,,,,,珠宝,,,,,,18240,"[10,5]",
1091008,黑胡椒粉,11,1,,,,,,,,,饮食,,139,"[10,5]",
1056005,黑欧泊,22,6,,,,,珠宝,,,,,,295500,"[10,5]",
1092010,黑巧克力,11,2,,,,,,,,,饮食,,262,"[10,5]",
1056015,黑王子红宝石,11,6,,,,,珠宝,,,,,,3000000,"[10,5]",
1054009,黑曜石原石,22,4,,,,,珠宝,,,,,,23760,"[10,5]",
1094003,黑钻松露,11,4,,,,,,,,,饮食,,2100,"[10,5]",
1103010,红楼梦连环画本,21,3,,,,,,,,,,书籍,3690,"[10,5]",
1035007,亲签球鞋,21,5,家居,,时尚,,,文玩,,,,,26605,"[10,5]",
1023008,呼吸湿化器,12,3,,医疗,,,,,数码,,,,2052,"[10,5]",
1054003,虎睛石,12,4,,,,,珠宝,,,,,,6152,"[10,5]",
1054006,琥珀,11,4,,,,,珠宝,文玩,,,,,5160,"[10,5]",
1064002,琥珀挂坠,11,4,,,,,珠宝,文玩,,,,,4828,"[10,5]",
1051007,花岗岩（毛料）,33,1,,,,,珠宝,,,,,,902,"[10,5]",
1091007,花椒,11,1,,,,,,,,,饮食,,150,"[10,5]",
1061004,桦树皮盒,22,1,家居,,,,,文玩,,,,,384,"[10,5]",
1036005,环球小姐冠军皇冠,21,6,,,时尚,,,,,,,,195154,"[10,5]",
1096009,黄唇鱼鱼胶,22,6,,,,,,,,,饮食,,193200,"[10,5]",
1035006,亲签球衣,23,5,家居,,时尚,,,文玩,,,,,38745,"[10,5]",
1066002,黄金权杖,14,6,,,,,珠宝,文玩,,,,,141300,"[10,5]",
1035003,限定球星收藏卡,11,5,家居,,时尚,,,文玩,,,,,12225,"[10,5]",
1103006,绘画墨水集合,21,3,,,,,,,,,,书籍,3240,"[10,5]",
1073001,绘图数位板,22,3,,,,,,,数码,,,,3893,"[10,5]",
1084003,混合动力单元,33,4,,,,,,,,交通,,,15680,"[10,5]",
1056014,火焰欧泊,11,6,,,,,珠宝,,,,,,457200,"[10,5]",
1044010,机动型水路两用气动靴,22,4,家居,,,武器,,,,,,,8830,"[10,5]",
1073005,机械键盘,21,3,,,,,,,数码,,,,2588,"[10,5]",
1035005,机械腕表,11,5,,,时尚,,,,,,,,9245,"[10,5]",
1034008,激光剑仿真玩具,41,4,家居,,时尚,,,,,,,,7380,"[10,5]",
1046009,激光手枪,21,6,,,,武器,,,,,,,104400,"[10,5]",
1062007,陶埙,11,2,家居,,,,,文玩,,,,,269,"[10,5]",
1044011,加特林重机枪,52,4,,,,武器,,,,,,,31688,"[10,5]",
1023010,家用急救医用箱,22,3,家居,医疗,,,,,,,,,3798,"[10,5]",
1024007,家用制氧呼吸机,22,4,家居,医疗,,,,,数码,,,,14240,"[10,5]",
1072005,键盘保护膜,22,2,家居,,,,,,数码,,,,1411,"[10,5]",
1104006,蕉叶白端砚,22,4,,,,,,文玩,,,,书籍,8240,"[10,5]",
1082008,绞盘,22,2,,,,,,,,交通,,,1835,"[10,5]",
1066007,金编钟,33,6,,,,,,文玩,,,,,322560,"[10,5]",
1065003,金佛塔,23,5,,,,,珠宝,文玩,,,,,43650,"[10,5]",
1104007,金栗山藏经纸,22,4,,,,,,文玩,,,,书籍,10260,"[10,5]",
1006001,金陵折扇,12,6,,,,,,,,,,,19371213,"[10,5]",
1066009,金缕玉衣,42,6,,,,,,文玩,,,,,281600,"[10,5]",
1056008,金绿猫眼石,11,6,,,,,珠宝,,,,,,94500,"[10,5]",
1066008,金丝冠,22,6,,,,,,文玩,,,,,179100,"[10,5]",
1015007,发财树,24,5,家居,,,,,,,,,,48703,"[10,5]",
1014008,金丝眼镜,11,4,家居,,时尚,,,,,,,,2514,"[10,5]",
1095006,金芽普洱茶,11,5,,,,,,,,,饮食,,49200,"[10,5]",
1013003,筋膜枪,21,3,家居,,,,,,数码,,,,2045,"[10,5]",
1015010,航空碳纤维鱼竿,14,5,家居,,,,,,,,,,50604,"[10,5]",
1083009,进气歧管,22,3,,,,,,,,交通,,,4208,"[10,5]",
1032003,经典棒球帽,11,2,家居,,时尚,,,,,,,,315,"[10,5]",
1092003,精酿啤酒,12,2,,,,,,,,,饮食,,346,"[10,5]",
1063001,景泰蓝镯,11,3,,,时尚,,,文玩,,,,,1050,"[10,5]",
1085005,竞技避震套装,33,5,,,,,,,,交通,,,51240,"[10,5]",
1085002,竞技离合器套件,22,5,,,,,,,,交通,,,34425,"[10,5]",
1044008,竞赛级复合弓,14,4,家居,,,武器,,,,,,,10920,"[10,5]",
1023009,静脉注射用人免疫球蛋白,11,3,,医疗,,,,,,,,,1313,"[10,5]",
1043001,军用望远镜,22,3,家居,,,武器,,,,,,,2565,"[10,5]",
1043003,卡宾枪,41,3,,,,武器,,,,,,,3600,"[10,5]",
1071009,卡带保护壳,11,1,家居,,,,,,数码,,,,161,"[10,5]",
1071003,卡牌入门包,11,1,,,,,,,数码,,,,126,"[10,5]",
1031010,卡贴,11,1,家居,,时尚,,,,,,,,115,"[10,5]",
1095008,康帝葡萄酒,12,5,,,,,,,,,饮食,,19600,"[10,5]",
1085003,可调式尾翼,32,5,,,,,,,,交通,,,39690,"[10,5]",
1086005,可控核聚变电池包,22,6,,,,,,,,交通,,,362400,"[10,5]",
1044009,可折叠高韧性防护盾,34,4,,,,武器,,,,,,,20082,"[10,5]",
1065004,缂丝袍,33,5,,,时尚,,,文玩,,,,,60600,"[10,5]",
1081007,空气滤芯,11,1,,,,,,,,交通,,,170,"[10,5]",
1055003,孔雀石雕件,33,5,,,,,珠宝,文玩,,,,,96768,"[10,5]",
1054002,孔雀石原石,22,4,,,,,珠宝,,,,,,8440,"[10,5]",
1072006,快充数据线,11,2,家居,,,,,,数码,,,,466,"[10,5]",
1011006,快递单,11,1,家居,,,,,,,,,,209,"[10,5]",
1062002,蜡染方巾,22,2,家居,,,,,文玩,,,,,1274,"[10,5]",
1094010,蓝龙虾,22,4,,,,,,,,,饮食,,6960,"[10,5]",
1096007,蓝鳍金枪鱼,35,6,,,,,,,,,饮食,,1552500,"[10,5]",
1095007,蓝鳍金枪鱼腹,22,5,,,,,,,,,饮食,,42975,"[10,5]",
1094002,蓝山咖啡豆,12,4,,,,,,,,,饮食,,5040,"[10,5]",
1093009,蓝纹奶酪,33,3,,,,,,,,,饮食,,4578,"[10,5]",
1072009,蓝牙触控板,22,2,,,,,,,数码,,,,914,"[10,5]",
1073007,蓝牙音箱,11,3,,,,,,,数码,,,,1651,"[10,5]",
1012004,篮球,22,2,家居,,,,,,,,,,1481,"[10,5]",
1105005,浪漫主义风景素描原作,22,5,,,,,,文玩,,,,书籍,29700,"[10,5]",
1091003,老坛酸菜,22,1,,,,,,,,,饮食,,486,"[10,5]",
1051001,沥青,11,1,,,,,珠宝,,,交通,,,123,"[10,5]",
1022003,雾化器,12,2,,医疗,,,,,数码,,,,661,"[10,5]",
1102006,连载漫画二,12,2,,,,,,,,,,书籍,760,"[10,5]",
1102007,连载漫画三,12,2,,,,,,,,,,书籍,536,"[10,5]",
1102008,连载漫画四,12,2,,,,,,,,,,书籍,721,"[10,5]",
1102005,连载漫画一,12,2,,,,,,,,,,书籍,786,"[10,5]",
1033010,联名键帽挂扣,11,3,,,时尚,,,文玩,,,,,711,"[10,5]",
1102009,练字用描红本,22,2,,,,,,,,,,书籍,734,"[10,5]",
1011004,晾衣杆,31,1,家居,,,,,,,,,,602,"[10,5]",
1104002,临摹版清明上河图,12,4,,,,,,文玩,,,,书籍,6824,"[10,5]",
1081009,临时停车牌,11,1,家居,,,,,,,交通,,,200,"[10,5]",
1021009,留置针,11,1,,医疗,,,,,,,,,143,"[10,5]",
1082003,行车记录仪,11,2,,,,,,,数码,交通,,,979,"[10,5]",
1063005,琉璃盏,11,3,家居,,,,珠宝,文玩,,,,,1260,"[10,5]",
1024008,龙涎香,11,4,,医疗,,,珠宝,文玩,,,,,3640,"[10,5]",
